	taxonomy_0	taxonomy_1	taxonomy_2	taxonomy_3	taxonomy_4	taxonomy_5	taxonomy_6
109266	k__Bacteria	p__Cyanobacteria	c__	o__Nostocales	f__Aphanizomenonaceae	g__Anabaenopsis	s__circularis
1416614	k__Bacteria	p__Cyanobacteria	c__Gloeobacteria	o__Gloeobacterales	f__Gloeobacteraceae	g__Gloeobacter	s__kilaueensis
254	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__indoltheticum
1141221	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__taihuense
860	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__periodonticum
75906	k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Thermocrinis	s__ruber
1006576	k__Bacteria	p__Thermotogae	c__Thermotogae	o__Petrotogales	f__Petrotogaceae	g__Defluviitoga	s__tunisiensis
376170	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloplanus	s__
76887	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Caldivirga	s__maquilingensis
1069378	k__Viruses	p__Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Podoviridae	g__Schmidvirus	s__Helicobacter phage phiHP33
10662	k__Viruses	p__Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	g__	s__
1591409	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudohalocynthiibacter	s__aestuariivivens
69220	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lelliottia	s__nimipressuralis
638	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Arsenophonus	s__nasoniae
663	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__alginolyticus
266009	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylovorus	s__glucosotrophus
879567	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Pseudodesulfovibrio	s__piezophilus
1564138	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Aliarcobacter	s__faecis
2676309	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Gordoniaceae	g__Gordonia	s__sp. 135
2760090	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__sp. PAMC26568
2576904	k__Bacteria	p__Cyanobacteria	c__	o__Nostocales	f__Nostocaceae	g__Nostoc	s__sp. TCL26-01
274	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__Thermales	f__Thermaceae	g__Thermus	s__thermophilus
2528203	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__sp. A1C1
2650158	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__sp. HF-5141
371601	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__xylanisolvens
2594269	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__sp. SNU WT5
2584940	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	s__sp. DG01
2732249	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__sp. TET16
1679444	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__glycaniphila
418008	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__horonobensis
2594042	k__Archaea	p__Candidatus Lokiarchaeota	c__	o__	f__	g__Candidatus Prometheoarchaeum	s__syntrophicum
2185111	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__sp. LF-16
1435607	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__sp. Khangiran2
2759660	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__sp. HY038
1758196	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__Serratia	s__sp. SSNIH1
2725684	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__sp. NEB149
2071621	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillaceae	g__Marinomonas	s__sp. FW-1
553239	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__breoganii
28087	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__sainthelensi
197482	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Malaciobacter	s__Arcobacter halophilus
1032243	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__sp. RM6914
46352	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agrococcus	s__
1389960	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__	g__Exiguobacterium	s__sp. S3-2
189426	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__odorifer
1513	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__tetani
512763	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Hymenobacteraceae	g__Rufibacter	s__tibetensis
1891926	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Fuerstia	s__marisgermanicae
29518	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Borreliaceae	g__Borreliella	s__afzelii
2008440	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__sp. 5-4
1198137	k__Viruses	p__Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	g__Schizotequatrovirus	s__
2773454	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillaceae	g__Marinomonas	s__sp. SM1966
2716226	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Pusillimonas	s__sp. DMV24BSW_D
643674	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Paenalcaligenes	s__hominis
2058625	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Undibacterium	s__sp. YM2
63745	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Sideroxydans	s__lithotrophicus
31	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Myxococcaceae	g__	s__
899	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfomicrobiaceae	g__Desulfomicrobium	s__baculatum
60035	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter	s__bremensis
351604	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter	s__uraniireducens
2579250	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Nautiliales	f__Nautiliaceae	g__Nautilia	s__sp. PV-1
169679	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__saccharobutylicum
37929	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Glutamicibacter	s__nicotianae
35757	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__cystitidis
78344	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__gallinarum
1433126	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Mucinivorans	s__hirudinis
28189	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__cynodegmi
1714860	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aquimarina	s__sp. BL5
398053	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__ginsenosidivorans
371142	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__daejeonense
833	k__Bacteria	p__Fibrobacteres	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibrobacter	s__succinogenes
88058	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__primitia
2283	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__ambivalens
691966	k__Viruses	p__Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Siphoviridae	g__	s__Rhodococcus phage ReqiDocB7
1436290	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Candidatus Symbiobacter	s__mobilis
1813019	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__hepaticus
2764325	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__sp. NSJ-61
56956	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__Thermales	f__Thermaceae	g__Thermus	s__brockianus
996	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__columnare
2748320	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__sp. P2-65
328515	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Nonlabens	s__dokdonensis
2725416	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__sp. 1310
316068	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Leadbetterella	s__byssophila
63363	k__Bacteria	p__Aquificae	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Aquifex	s__aeolicus
936456	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	o__Chrysiogenales	f__Chrysiogenaceae	g__Desulfurispirillum	s__indicum
1448276	k__Viruses	p__Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Siphoviridae	g__	s__Streptococcus phage IC1
135569	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__apodemus
947919	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfosarcina	s__widdelii
682956	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__jilunlii
161360	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Planococcus	s__antarcticus
1115758	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Romboutsia	s__ilealis
1916956	k__Bacteria	p__Cyanobacteria	c__	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	s__sp. SynAce01
2763022	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__sp. M10
143223	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Salegentibacter	s__salegens
76832	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Myroides	s__odoratimimus
2108365	k__Bacteria	p__Thermotogae	c__Thermotogae	o__Petrotogales	f__Petrotogaceae	g__Tepiditoga	s__spiralis
29284	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__trapanicum
1789762	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanosphaera	s__sp. BMS
569	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Hafniaceae	g__Hafnia	s__alvei
1448857	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__corcagiensis
1646	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Renibacterium	s__salmoninarum
2600320	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Nesterenkonia	s__sp. NBAIMH1
1331736	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Ruaniaceae	g__	s__
1906	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__fradiae
1851	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Saccharomonospora	s__
46867	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__chauvoei
1424294	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Geosporobacter	s__ferrireducens
1796646	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__intestinale
930802	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Nonlabens	s__marinus
430914	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__tiamatea
1816183	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloplanus	s__rallus
2214	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__acetivorans
687331	k__Viruses	p__	c__	o__	f__Anelloviridae	g__Alphatorquevirus	s__
35787	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Lactobacillus pontis
2100764	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Mixta	s__
283699	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Pseudoalteromonadaceae	g__Pseudoalteromonas	s__sp. Bsw20308
91604	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Holosporales	f__Candidatus Paracaedibacteraceae	g__Candidatus Paracaedibacter	s__acanthamoebae
2025876	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__sp. CT06
2654325	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__sp. xlx-214
343403	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Costertonia	s__aggregata
2719912	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Leeuwenhoekiella	s__sp. ZYFB001
584609	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Tenacibaculum	s__jejuense
1727163	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cyclobacteriaceae	g__Algoriphagus	s__sanaruensis
477680	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Filimonas	s__lacunae
144	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Borreliaceae	g__Borrelia	s__coriaceae
204434	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
187145	k__Bacteria	p__Calditrichaeota	c__Calditrichae	o__Calditrichales	f__Calditrichaceae	g__Caldithrix	s__abyssi
1349410	k__Viruses	p__	c__	o__	f__	g__Pandoravirus	s__salinus
2715164	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__sp. 323-1
2733866	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__sp. KCTC 72983
2682487	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__sp. SXG-1
754	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Pasteurella	s__dagmatis
69539	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Moritellaceae	g__Moritella	s__yayanosii
663364	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Halarcobacter	s__bivalviorum
1610	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Loigolactobacillus	s__Lactobacillus coryniformis
376418	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	s__sp. A7
55968	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leucobacter	s__
219687	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
387341	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Halovivax	s__ruber
2592817	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Tardiphaga	s__sp. vice304
31993	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__	s__
2025949	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	s__sp. meg3
2588536	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Candidatus Methylopumilus	s__universalis
197	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__jejuni
2763257	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. YJN-G
1401	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__lautus
53442	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__callanderi
1550240	k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales Family III. Incertae Sedis	g__Thermoanaerobacterium	s__sp. RBIITD
2583452	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Amedibacterium	s__intestinale
57372	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__suis
2602769	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__alkalisoli
337051	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__1
1982304	k__Viruses	p__Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Siphoviridae	g__Pahexavirus	s__Propionibacterium virus Procrass1
1028416	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__sp. DAB_AL43B
61651	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__Serratia	s__ficaria
1884913	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Candidatus Nanopelagicales	f__Candidatus Nanopelagicaceae	g__Candidatus Planktophila	s__lacus
1925021	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__haynesii
114090	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	s__inopinatus
1623	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Lactobacillus ruminis
1714849	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aquimarina	s__sp. AD10
1912760	k__Viruses	p__Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Siphoviridae	g__Cequinquevirus	s__
197614	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__pasteurianus
1350	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__
160453	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__gilvus
290335	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Tetragenococcus	s__koreensis
1007676	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Companilactobacillus	s__Lactobacillus ginsenosidimutans
2767885	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Latilactobacillus	s__
155866	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	g__Weissella	s__soli
147709	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Carnobacterium	s__inhibens
61015	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__succinus
643214	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__stepanovicii
29380	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__caprae
2283160	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Psychrobacillus	s__glaciei
1536771	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__sp. FSL R5-0912
298596	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	s__ureilytica
217159	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__carboxidivorans
433286	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Anaerocolumna	s__cellulosilytica
2041044	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__maltosivorans
884684	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Hungateiclostridiaceae	g__Mageeibacillus	s__indolicus
1852373	k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Murdochiella	s__vaginalis
2060	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Tsukamurellaceae	g__Tsukamurella	s__
92644	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__malaysiensis
2511069	k__Bacteria	p__Cyanobacteria	c__	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	s__sp. RSCCF101
1442551	k__Bacteria	p__Cyanobacteria	c__	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	s__sp. BMK-MC-1
1137095	k__Bacteria	p__Cyanobacteria	c__	o__Nostocales	f__Scytonemataceae	g__Scytonema	s__sp. HK-05
373994	k__Bacteria	p__Cyanobacteria	c__	o__Nostocales	f__Rivulariaceae	g__Rivularia	s__sp. PCC 7116
2202254	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__irradiatisoli
33926	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	g__Candidatus Phytoplasma	s__
2697371	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__sp. MPUS7
1972757	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__sp. PO552
2026240	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__quasivariicola
1639133	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__portucalensis
2077149	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__freundii complex sp. CFNIH9
2566012	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__sp. CF971
2742657	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__sp. RHBSTW-00599
2742675	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__sp. RHBSTW-00986
